"FileName","FullPath","RootCategory","ProbableRole","SizeBytes","LastWrite"
"TaleWorlds.Core.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Core.dll","client","native","491456","2026-03-04 23:57"
"TaleWorlds.Core.ViewModelCollection.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Core.ViewModelCollection.dll","client","native","68544","2026-03-04 23:57"
"TaleWorlds.Diamond.AccessProvider.GDK.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Diamond.AccessProvider.GDK.dll","client","diamond","12224","2026-03-04 23:57"
"TaleWorlds.Diamond.AccessProvider.GOG.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Diamond.AccessProvider.GOG.dll","client","diamond","13248","2026-03-04 23:57"
"TaleWorlds.Diamond.AccessProvider.Steam.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Diamond.AccessProvider.Steam.dll","client","diamond","12736","2026-03-04 23:57"
"TaleWorlds.Diamond.AccessProvider.Test.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Diamond.AccessProvider.Test.dll","client","test","12224","2026-03-04 23:57"
"TaleWorlds.Diamond.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Diamond.dll","client","diamond","68032","2026-03-04 23:57"
"TaleWorlds.DotNet.AutoGenerated.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.DotNet.AutoGenerated.dll","client","native","41920","2026-03-04 23:57"
"TaleWorlds.DotNet.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.DotNet.dll","client","native","69568","2026-03-04 23:57"
"TaleWorlds.Engine.AutoGenerated.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Engine.AutoGenerated.dll","client","native","733632","2026-03-04 23:57"
"TaleWorlds.Engine.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Engine.dll","client","native","475072","2026-03-04 23:57"
"TaleWorlds.Engine.GauntletUI.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Engine.GauntletUI.dll","client","native","35264","2026-03-04 23:57"
"TaleWorlds.GauntletUI.CodeGenerator.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.GauntletUI.CodeGenerator.dll","client","unknown","77760","2026-03-04 23:57"
"TaleWorlds.GauntletUI.Data.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.GauntletUI.Data.dll","client","unknown","39360","2026-03-04 23:57"
"TaleWorlds.GauntletUI.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.GauntletUI.dll","client","unknown","325568","2026-03-04 23:57"
"TaleWorlds.GauntletUI.ExtraWidgets.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.GauntletUI.ExtraWidgets.dll","client","unknown","68544","2026-03-04 23:57"
"TaleWorlds.GauntletUI.PrefabSystem.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.GauntletUI.PrefabSystem.dll","client","unknown","55232","2026-03-04 23:57"
"TaleWorlds.InputSystem.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.InputSystem.dll","client","native","57792","2026-03-04 23:57"
"TaleWorlds.Library.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Library.dll","client","native","262592","2026-03-04 23:57"
"TaleWorlds.LinQuick.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.LinQuick.dll","client","unknown","32192","2026-03-04 23:57"
"TaleWorlds.Localization.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Localization.dll","client","native","204224","2026-03-04 23:57"
"TaleWorlds.ModuleManager.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.ModuleManager.dll","client","unknown","32704","2026-03-04 23:57"
"TaleWorlds.MountAndBlade.AutoGenerated.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.MountAndBlade.AutoGenerated.dll","client","native","379840","2026-03-04 23:57"
"TaleWorlds.MountAndBlade.Diamond.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.MountAndBlade.Diamond.dll","client","diamond","346048","2026-03-04 23:57"
"TaleWorlds.MountAndBlade.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.MountAndBlade.dll","client","native","2571712","2026-03-04 23:57"
"TaleWorlds.MountAndBlade.GauntletUI.Widgets.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.MountAndBlade.GauntletUI.Widgets.dll","client","native","673728","2026-03-04 23:57"
"TaleWorlds.MountAndBlade.Helpers.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.MountAndBlade.Helpers.dll","client","native","13248","2026-03-04 23:57"
"TaleWorlds.MountAndBlade.Launcher.Library.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.MountAndBlade.Launcher.Library.dll","client","native","84928","2026-03-04 23:57"
"TaleWorlds.MountAndBlade.Launcher.Steam.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.MountAndBlade.Launcher.Steam.dll","client","native","12736","2026-03-04 23:57"
"TaleWorlds.MountAndBlade.Multiplayer.Test.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.MountAndBlade.Multiplayer.Test.dll","client","test","11200","2026-03-04 23:57"
"TaleWorlds.MountAndBlade.ViewModelCollection.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.MountAndBlade.ViewModelCollection.dll","client","native","485312","2026-03-04 23:57"
"TaleWorlds.Native.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Native.dll","client","unknown","14127552","2026-03-04 23:57"
"TaleWorlds.NavigationSystem.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.NavigationSystem.dll","client","unknown","10176","2026-03-04 23:57"
"TaleWorlds.Network.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.Network.dll","client","native","61376","2026-03-04 23:57"
"TaleWorlds.ObjectSystem.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.ObjectSystem.dll","client","native","53184","2026-03-04 23:57"
"TaleWorlds.PlatformService.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.PlatformService.dll","client","unknown","34752","2026-03-04 23:57"
"TaleWorlds.PlatformService.Epic.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.PlatformService.Epic.dll","client","unknown","41408","2026-03-04 23:57"
"TaleWorlds.PlatformService.GOG.dll","C:\Program Files (x86)\Steam\steamapps\common\Mount & Blade II Bannerlord\bin\Win64_Shipping_Client\TaleWorlds.PlatformService.GOG.dll","client","unknown","40384","2026-03-04 23:57"
